credit_score,age,anciennete_ans,solde,nb_produits,carte_credit,membre_actif,salaire_annuel,pays,sexe,churn
710,67,16,25146.391024862358,4,1,0,58631.46801375656,Espagne,H,1
415,37,16,47702.14403455048,1,0,1,46408.825114168874,Espagne,F,1
329,67,19,21113.58552865901,2,0,0,48062.79016460606,Espagne,F,1
338,62,13,41471.68360459829,3,0,0,47349.0095232204,Espagne,F,1
621,38,9,40476.63719296841,1,1,0,50729.30662066874,France,F,1
436,37,6,58898.40629972684,3,0,1,65210.51469300036,France,F,0
384,29,16,80136.6999004667,3,0,1,30406.476332106457,Espagne,H,0
409,52,19,56222.44228066433,2,1,0,33043.95611827745,Espagne,F,1
721,31,4,66223.4842851007,2,0,1,87316.33627391362,France,F,0
610,34,6,41008.88629375252,4,1,0,26051.980514121,Espagne,F,1
574,52,13,37805.93925197268,4,0,0,40580.39692671822,France,H,0
623,19,10,88573.41416270289,4,0,1,32751.930894925892,France,H,0
743,53,19,110435.25781002507,1,1,1,60270.84309631706,France,F,0
309,68,13,72182.12463597374,2,1,0,34201.03340662377,France,H,1
566,36,7,70500.79742583956,4,1,1,61520.517872420634,France,F,0
780,62,12,33366.67057383116,1,0,1,41418.85834755795,France,F,0
611,25,1,31145.01514529106,3,0,1,44656.117843648615,Allemagne,H,0
358,65,16,61113.635986857815,3,1,1,28578.191589675534,Espagne,F,1
605,58,10,66275.20776593617,2,0,0,39413.98654120387,Allemagne,F,0
412,42,15,85539.32410025163,3,1,1,59276.154505970844,France,F,0
457,68,8,58414.61121115014,1,0,1,41395.12565500792,Allemagne,H,1
836,64,15,44502.047633310365,4,0,0,76671.47139676564,Espagne,F,1
772,27,4,30031.46764073943,2,0,1,51784.58962734128,Espagne,F,0
570,33,10,13297.150926554808,1,1,1,46385.46638129894,Espagne,H,0
796,41,1,83158.20214294313,1,1,1,57801.14866633854,France,F,1
639,32,14,30260.854509848632,3,1,1,59771.95227155976,Espagne,H,0
680,56,1,56332.22806889413,3,1,1,64722.577855089556,Allemagne,F,0
335,43,16,56962.64327961142,2,0,0,72871.4608123393,Espagne,F,1
755,34,14,61850.762758402576,2,1,1,74322.80981547457,France,H,0
429,39,12,93171.8142787655,1,0,1,44188.58506150238,Espagne,F,1
800,51,19,24386.019274114675,2,0,1,69309.0997776111,Espagne,H,0
481,24,0,44958.92092277582,2,0,0,22754.017105233655,Allemagne,H,1
670,25,2,62754.45484327986,3,1,1,96376.0108130298,France,H,0
403,32,0,37056.22720370942,4,0,0,65499.225210172975,Espagne,F,1
633,23,6,56301.91624999939,3,1,1,53036.48539304374,Espagne,H,0
408,48,17,72532.36769890621,1,1,0,52224.507851626506,Espagne,F,1
846,35,12,72943.89713377823,4,1,0,88359.31638408215,France,H,1
533,25,12,48230.98222557264,2,1,1,43734.470178407435,Allemagne,F,0
838,41,17,61630.81368721585,2,1,1,63643.94197978299,Allemagne,F,0
739,60,18,52912.28721800472,1,1,1,62239.63495222516,France,F,0
372,69,7,46224.72176880836,3,0,1,40792.666020452496,France,F,1
606,62,5,33266.479988327425,4,1,1,67155.19598060478,Espagne,H,0
638,42,6,43411.49961232141,4,0,1,26867.92589066686,Allemagne,H,0
311,72,19,58648.112463446756,3,1,0,21189.415069441806,France,F,1
589,63,5,59910.533776746306,1,1,0,98381.02711396897,France,F,1
679,32,5,105238.62377865452,2,1,0,74826.80832708528,France,H,0
527,73,7,101665.25879146355,4,1,0,71153.78153049311,France,F,1
355,44,12,47313.57349604829,2,1,1,60873.19483283802,France,F,0
783,21,14,75411.79918738535,1,0,0,39869.55455848263,France,H,1
391,66,18,44578.41166478808,1,0,0,45684.11756522326,Espagne,F,1
519,60,0,74134.75672124396,1,1,1,59228.415011745965,France,H,1
491,54,3,51591.22000162949,2,1,0,50903.83235083238,France,H,1
485,62,5,117912.36666991025,3,0,0,56368.94234485785,Allemagne,F,1
544,47,12,69710.77481738359,1,0,1,80317.94814572822,Espagne,F,0
379,73,13,118960.09603117178,1,0,0,43899.630903051846,Allemagne,H,1
706,66,10,44758.99302863474,2,0,0,26167.539658418515,France,H,1
682,34,4,54162.835505666284,1,0,1,29774.75180435366,Espagne,H,0
821,47,5,42720.84700572965,2,1,1,43123.509730123464,France,H,0
750,37,4,16800.017837305895,1,0,1,47443.10611661189,France,F,0
747,26,16,38608.755880643366,2,1,1,77692.9370435318,France,H,0
754,40,2,20886.119231324687,4,1,0,57141.140427807855,Espagne,F,1
762,68,5,3815.2866799622498,4,1,1,69270.10033069944,France,F,0
617,73,2,13019.605859503885,4,1,0,57143.025852209284,Allemagne,H,1
666,31,19,107644.72679046757,4,0,1,62752.06055621434,France,F,0
743,66,7,84169.4923284318,2,0,1,54345.84198549604,Allemagne,H,0
823,43,0,127458.16264546016,1,0,1,17085.40933392429,Espagne,H,0
833,68,10,51340.91269017806,1,1,0,112808.94464566861,France,F,1
787,55,8,22494.11887249261,4,1,0,66607.37621454598,Espagne,H,0
578,22,8,71765.21272901863,3,0,0,42912.47762515003,Allemagne,F,0
431,45,1,15774.886661337936,1,1,1,50206.388272480326,France,H,1
796,71,7,74464.41077590355,1,1,1,33303.418342994206,France,H,1
573,29,4,56745.46643480881,4,1,0,53468.29802503605,France,F,0
632,59,11,63422.099471568705,2,1,1,70519.3677846141,France,H,0
422,72,0,56513.47028903368,3,0,1,45842.48364763494,France,F,1
819,43,2,25162.48385237709,4,0,0,49127.87486468063,Allemagne,F,0
482,39,3,14519.597942602668,3,0,0,31147.519530489706,Allemagne,H,1
833,54,9,30776.901440133726,4,0,1,100792.27497394962,France,H,0
659,41,7,103262.45980048412,4,1,1,42156.70107606203,Allemagne,F,0
841,73,11,32804.97782003082,3,0,1,76018.08874044252,France,H,0
847,74,3,35756.440096866005,1,1,0,71194.73205567371,France,H,1
699,72,10,27436.746109284053,4,1,0,46630.736113504965,France,H,1
504,36,13,36610.901422881536,3,0,1,47102.25982809061,Espagne,H,0
583,45,15,78027.23949428058,2,0,0,75658.94241654451,Espagne,H,0
385,56,0,63170.96483656152,3,0,1,65944.42526473268,Allemagne,F,1
827,43,6,100848.55726951142,3,1,0,49676.47895395817,Espagne,H,1
543,33,2,21448.146990743335,4,1,0,30401.155355946536,France,H,0
698,62,0,52335.20583107425,3,1,1,61059.6723535494,Allemagne,H,0
433,66,12,11066.46382521242,4,1,1,50684.930605396396,Espagne,H,1
431,39,18,25043.396263153816,1,1,1,79340.86728232229,France,F,1
357,63,5,86766.10366719612,4,1,1,31467.196940238962,Espagne,H,1
563,18,6,44487.03535065981,2,1,0,89487.80089237785,Espagne,F,1
654,27,0,27138.913507581965,3,1,0,83714.69990005571,Espagne,F,1
354,28,8,86770.66565910987,4,0,1,73949.09720294474,Allemagne,F,0
735,22,13,58232.09349385863,2,0,1,75789.19627967928,Espagne,F,0
597,21,15,36825.287925954806,3,0,0,32967.54262174951,Allemagne,H,1
709,28,14,57564.59319443966,1,1,0,56942.64748820341,Allemagne,H,1
569,18,3,29511.947221750215,2,0,1,37919.13203878387,Espagne,F,0
514,28,13,91914.6530008271,1,1,0,30841.37987699383,Espagne,H,1
467,71,14,55725.74288426762,3,0,1,77744.56904190563,France,H,1
456,22,7,70106.4713933772,4,0,1,63273.23254004751,France,F,0
832,48,15,52289.2687119716,2,0,1,39171.94234443927,Espagne,F,0
628,55,7,49152.4501707466,4,0,1,58648.339151076674,France,F,0
571,39,2,116513.92529860874,3,0,0,66418.22237884295,France,F,0
328,66,12,80817.27657976512,1,0,0,47174.296170934584,France,H,1
462,27,9,90372.4404568072,2,0,1,45462.70480177017,France,F,0
375,62,9,71283.62211650517,3,1,1,52710.504042549066,Allemagne,H,1
686,21,7,676.4176821698129,3,0,0,46746.96535275339,Espagne,F,0
805,57,1,78064.77815075018,2,1,0,42653.16464617955,Espagne,H,1
665,22,6,99381.34704000934,2,0,0,55735.685532076364,Espagne,H,0
355,24,12,85519.60111825282,2,1,0,54958.389717408056,France,F,1
780,64,5,73498.8761901989,1,1,1,41633.13930676856,France,F,1
575,38,19,74364.47474673082,2,0,1,57817.26576123903,Allemagne,H,0
712,28,2,26851.517856414583,1,1,0,31465.082711506042,France,F,1
430,55,4,69049.47009462677,3,1,1,55090.48128159643,Allemagne,F,0
588,41,3,89338.72019084942,1,0,1,62354.589807362536,Espagne,H,0
663,45,2,63448.80344794913,4,1,1,55537.30797149946,France,H,0
767,51,12,20670.130277201933,4,1,0,93970.33728508165,France,H,0
430,38,2,80891.9213334752,3,0,0,44076.18734549472,Allemagne,F,1
370,70,10,14639.04978602787,1,1,0,40097.79241489989,France,F,1
562,24,5,59674.921658669315,2,0,0,37444.17141624284,Allemagne,H,0
421,23,0,66681.19434925183,2,1,0,48873.08582953925,Allemagne,H,1
585,33,7,36091.15698301726,2,0,0,53765.93100496055,France,H,1
773,39,19,114198.62555027075,1,0,1,40454.033182145504,France,H,0
834,54,4,65757.38987529017,4,0,1,50684.9237532357,France,H,0
663,58,9,28689.396379222315,4,0,1,20628.471406521632,Allemagne,F,0
765,66,5,42200.1426517745,1,1,0,48945.934253839136,France,F,1
555,27,11,75705.44201964198,1,0,1,69314.37200022973,Allemagne,F,0
448,27,16,39712.24220815147,4,0,1,33474.67783066326,Espagne,F,0
839,38,5,41968.05654092501,3,1,0,27424.421865774035,France,F,1
648,47,9,59309.51599636222,3,1,0,27540.82018858575,Espagne,H,1
395,48,6,63530.91333208987,4,1,0,43675.78000638465,Espagne,H,1
309,58,19,28590.43802095369,1,0,0,72033.09485633031,France,F,1
359,46,2,94615.06766347331,3,0,1,63621.07896724445,Espagne,F,0
613,69,11,94082.89961213164,3,1,0,91189.16148127484,Espagne,H,1
537,37,3,60035.74748454909,3,0,0,83049.6814991279,Allemagne,F,0
418,66,0,26181.110998156444,2,0,1,76598.19035730747,France,H,1
768,21,3,85567.62233125602,4,1,0,64174.231303863075,France,F,1
322,40,18,124816.46734212563,3,0,0,74408.44099151567,Allemagne,H,1
776,44,17,48511.19630801257,3,0,0,64808.55348058966,France,F,1
350,27,9,64644.62554435045,3,1,0,69749.38687668141,Espagne,F,1
658,50,16,74381.89233768577,2,0,0,32723.778649504504,Allemagne,H,0
521,30,0,86257.19174729967,2,1,0,58980.91063313819,Espagne,H,1
457,62,0,66886.67858825838,2,1,1,96686.57849420754,France,H,1
755,55,16,72305.51441878603,1,1,0,82667.63329586652,France,F,1
321,32,4,90068.80855500612,1,0,1,53979.1927860293,France,H,1
702,70,13,14345.86586037169,1,1,1,47029.18703982484,Espagne,F,1
791,41,11,102774.99822768226,1,1,1,35613.07887733306,Espagne,H,0
759,63,7,90652.3017672361,3,0,1,27607.358061456285,France,H,0
436,61,12,23776.079101931857,3,1,0,53661.56401389908,France,H,1
723,53,0,34149.342551139795,3,1,0,57770.71862011719,France,H,1
384,22,18,116471.72146931896,4,0,1,40712.55814279795,France,F,0
651,19,6,133649.30365768226,4,0,1,33030.991348385796,Espagne,F,0
540,29,12,49384.8348687814,2,1,1,54046.990130285754,France,F,0
723,43,10,65727.77170379895,1,1,1,82961.5604123378,France,H,0
833,20,2,68826.21126161171,4,1,0,70856.48942207893,France,F,1
647,55,1,91700.52626427973,1,1,0,56394.23332345417,France,F,1
350,65,13,73596.76360250282,2,1,1,91250.36538835571,France,F,1
443,71,16,76035.16511362027,2,1,0,50324.81729710027,Allemagne,H,1
433,50,2,71703.76447233856,4,1,0,57321.54869462014,France,H,1
418,59,19,87594.80712487166,1,0,0,36481.57259683068,Espagne,H,1
414,56,13,48142.99374957507,1,0,1,27759.762694684796,France,H,1
675,40,4,48568.688503281024,1,0,0,32888.68807944461,France,F,1
733,51,0,18442.41137070825,3,1,0,56180.39408946874,Espagne,F,1
605,47,16,42972.31824454991,3,0,0,73210.42509425512,France,H,1
325,36,15,7653.776039478653,3,0,0,33074.802761307554,France,F,1
709,39,12,63581.59853528607,2,0,0,54329.50830754346,France,H,1
365,24,19,92884.02672500152,4,1,1,93095.13207988524,Espagne,F,0
791,48,8,31374.98714743442,4,1,0,59345.84214467973,France,F,1
815,64,11,40121.77774343954,3,1,0,66244.79337825364,Allemagne,F,1
423,28,3,11208.74041655146,2,0,0,63289.01777892212,Allemagne,H,1
849,23,11,51381.21394851814,2,1,1,48828.7560682929,Espagne,F,0
709,60,1,122202.15736148354,1,1,1,58397.12544550606,France,H,1
385,26,10,82375.44661468,2,1,1,63928.411046921574,Espagne,F,0
734,67,0,79907.31611562586,2,0,0,61438.34807107147,Espagne,F,1
569,29,7,63379.19088812599,2,1,0,37488.809999072735,Allemagne,F,0
817,39,6,117562.68024509736,4,0,0,63219.35397101453,France,H,1
841,26,18,48028.533630075544,4,0,1,98884.3017989994,Espagne,H,0
438,24,0,37395.110711559064,1,0,0,58891.1952723461,France,F,1
311,26,0,24938.854599936,3,1,1,75581.09823427224,France,H,1
578,58,1,80999.0258345035,1,0,0,50156.156155868055,Allemagne,H,1
442,64,11,68274.99548791845,4,1,1,76144.5969932027,France,F,1
572,29,3,102570.01569133234,2,1,0,36512.18118254869,Allemagne,F,1
323,70,8,35730.72461516533,2,0,1,33666.140891592804,Espagne,H,1
656,60,6,85176.93787981432,4,1,1,65295.06285291224,France,F,0
433,23,12,112205.28818620525,1,0,1,31121.239524159217,France,F,1
742,72,17,53438.853911767466,4,0,0,20205.67226100895,France,F,1
412,49,8,62765.716405916115,1,1,1,66569.34668979357,France,H,1
514,72,19,1112.8594782605214,2,0,1,57208.92524310006,France,H,0
393,46,15,41781.481753856955,1,1,1,65387.04971216418,Espagne,F,1
507,34,16,49188.796940645356,1,0,1,42832.37291621874,Espagne,H,0
384,54,3,125264.37776391688,2,0,0,61355.484241729224,Allemagne,F,1
545,31,16,67365.9506991122,3,0,1,35301.56222451909,Espagne,H,0
479,59,0,85758.3941967543,2,1,0,68350.81216839091,Espagne,F,1
535,37,18,30325.578437553497,2,1,0,80830.20599496357,Espagne,H,1
352,24,15,43693.08412346473,4,0,0,44943.05619883409,France,H,1
775,37,5,33162.09427962391,4,0,0,35044.868736661025,France,F,0
658,73,4,45317.61671694697,2,0,1,64274.46632656714,France,H,0
773,40,19,66603.8292091461,1,0,1,70133.54188321297,Espagne,H,0
779,63,11,46167.09114791272,3,1,0,92302.39401557946,Allemagne,F,1
470,38,16,74671.16893586915,2,1,0,104030.9365190909,France,F,1
655,37,14,75322.14888691092,3,0,1,21103.784032189913,Allemagne,F,0
365,44,13,79568.61345063812,4,0,1,45422.67552124266,Espagne,H,0
611,34,19,73317.66036461314,2,0,0,54381.973100341624,France,H,1
448,34,18,33549.62448631252,4,1,1,53649.90482669317,Allemagne,H,0
788,42,17,61864.61576653037,2,1,0,67071.39098357904,Espagne,H,1
545,34,11,112852.33152789148,2,0,1,39247.893989907556,Allemagne,H,0
597,70,2,47750.63772596947,4,1,1,92629.61230446183,France,H,0
428,36,14,50278.30393534376,1,0,0,53811.78060494199,Espagne,F,1
565,24,15,84811.2488001325,1,1,1,49736.39077292403,Allemagne,H,0
538,53,6,20909.116368519433,1,0,0,48092.81197556112,Espagne,F,1
593,48,19,41195.46557345564,2,1,0,40843.32342850743,France,H,0
564,55,13,81861.90580844344,4,0,0,12093.561916081308,France,H,0
309,37,17,7844.988844379623,1,1,0,58563.591891509015,Allemagne,F,1
763,22,11,85360.46603109426,3,0,0,44173.47210742928,Espagne,F,1
662,58,18,40504.49147267231,4,1,1,67142.66724927015,France,F,0
440,32,1,76756.1462681529,4,0,1,100228.68550111362,Allemagne,H,1
403,71,0,64068.013417105336,1,1,0,20749.216918100414,Allemagne,F,1
749,22,10,60431.43287553928,4,1,0,78313.14411516397,Allemagne,F,0
840,31,10,75142.68001170122,1,1,0,68819.71202782428,France,H,1
387,24,11,35157.995130997864,2,1,1,72597.52360488592,France,H,0
811,25,8,4735.39706748919,2,0,1,19243.12372522529,Allemagne,H,0
385,69,7,85179.39175633478,2,0,1,51284.70536107804,France,H,1
477,58,8,53947.51743831714,2,1,1,40469.4606124492,France,F,0
511,28,5,32552.257620659482,2,0,1,67995.03249974526,France,H,0
436,68,4,44288.755041720564,1,1,1,89552.4435952699,France,H,1
697,23,19,48097.775940210064,4,1,0,26318.17031529473,France,F,1
753,49,1,105386.52252555787,1,0,0,57877.87990925714,France,H,1
405,19,19,70548.9758990991,2,1,1,52246.9779651848,France,H,0
451,22,2,44553.06255601974,3,1,1,84833.30011188916,Espagne,F,0
803,33,5,141431.57475164183,1,1,0,72547.24408682203,France,F,1
342,58,10,117774.96577738898,2,0,1,65194.63061932383,France,F,0
475,52,7,46414.3645785166,4,0,1,53863.10473165173,Allemagne,H,0
425,66,17,98108.41794607554,4,0,1,75185.00597445431,Espagne,F,1
524,45,12,20593.31143987745,4,0,1,13067.252711682188,France,F,0
404,55,6,82640.48204325797,2,1,1,62906.4414128118,France,F,0
509,39,11,15225.429595603899,1,0,0,110560.68888147525,Espagne,H,1
511,30,0,83360.51395573234,2,0,1,61652.46510556401,France,H,0
490,50,11,72641.26652959775,2,1,0,42034.03248357898,Espagne,F,1
646,19,14,121790.30358202549,2,1,0,79342.32336432647,France,F,1
707,62,14,46252.91617724836,4,1,1,37015.278516524726,France,F,0
631,61,9,69756.28447615859,2,1,1,57786.49761547927,Espagne,F,0
483,24,6,56181.007616722236,1,1,1,43975.664815499884,France,F,1
616,44,1,69593.291354258,4,1,1,76306.71065648203,France,F,0
463,53,2,77360.33974133123,3,1,0,43621.628938118054,Espagne,F,1
536,72,10,116391.15478258775,1,1,0,48198.57888605807,Espagne,H,1
326,42,5,88364.01477778319,4,1,0,14549.660842508922,Allemagne,H,1
373,59,3,8330.090740748725,4,0,1,31447.531748991405,France,H,0
309,60,19,76579.06588714616,3,0,0,47465.85066275995,France,H,1
401,72,0,52092.49808060849,4,0,1,56835.898681317056,Espagne,F,1
630,23,15,69846.85030217347,3,1,0,61266.55649856884,France,F,0
564,69,19,88926.61363378528,2,0,0,25901.97572434777,France,F,1
802,59,10,52221.45824102579,4,1,1,73114.84154397735,France,H,0
395,47,0,39237.64642885765,4,0,1,56645.99379010795,Allemagne,F,0
837,71,13,86057.76007547833,2,1,1,35364.75705679336,France,H,0
725,54,5,70231.44990866088,3,0,0,76204.47579380954,Espagne,H,0
688,33,8,25589.971088370752,2,0,0,37237.94484468229,Espagne,H,1
534,42,7,35948.88742337902,2,0,0,88048.62304394251,France,H,0
579,20,16,97294.55785090473,4,0,1,65577.33811544755,Allemagne,F,0
550,31,7,65358.959444084656,3,1,1,61948.04750431935,France,F,0
519,19,11,70624.91271317258,4,0,1,61829.49780469132,France,F,0
423,32,17,54021.3364773476,4,0,1,56641.738717774984,France,F,0
440,48,17,59177.42794781098,3,0,1,35010.45184618827,France,H,0
319,18,18,36706.503993899896,4,0,0,97965.2210161341,Espagne,H,1
792,74,7,43601.97855186912,1,1,1,58121.445612454234,France,F,0
442,32,7,138631.41877980335,1,1,1,75708.50055187952,Allemagne,H,1
460,58,16,90734.06206076522,1,0,1,63851.990746398355,Espagne,H,1
394,71,15,35001.074194871646,3,0,0,71095.98821964988,France,H,1
447,73,12,85507.92569534676,4,1,0,43047.27230564003,Allemagne,F,1
323,36,9,62984.77186324804,2,1,1,22929.695340407954,France,F,0
567,62,5,48884.186785918326,2,0,1,50513.77685424026,France,F,0
427,43,6,49783.25375415855,2,0,1,47833.35970810131,France,F,0
827,42,10,94028.89637718358,4,1,1,54783.40332494705,Allemagne,H,0
322,57,3,31428.797159378668,1,0,1,54746.238381270436,Espagne,F,1
408,20,10,98593.70189531684,4,0,0,5830.806765062756,Allemagne,F,1
701,70,14,50232.29571776789,4,1,1,57902.441227948555,France,H,0
706,39,0,53247.034262364774,1,1,0,81479.26481637066,Espagne,H,1
839,73,3,68834.56968113752,2,1,0,86550.29616766967,France,F,1
344,38,10,33808.79087571977,4,0,1,81476.83905281888,France,H,0
674,51,1,109372.89861464202,2,0,0,27661.74489050645,Allemagne,F,1
361,58,11,129758.92495825986,1,0,0,74284.80448173573,Allemagne,H,1
803,71,15,41844.05024562238,4,1,0,46101.9838341646,France,H,1
701,57,10,160593.90882775493,3,1,0,54789.560385491786,Espagne,F,1
412,57,10,72561.556651666,2,1,0,48787.359054843146,France,H,1
655,66,8,50187.975802990266,2,0,1,62996.060694364794,Allemagne,F,0
480,67,16,103579.33073692341,1,1,0,58534.16461443016,Allemagne,H,1
428,33,12,94299.67241465073,1,1,0,48158.9648760824,Espagne,F,1
339,65,15,85720.81806649498,3,0,0,57970.944048039695,France,F,1
318,56,1,36797.24923923203,2,1,0,46799.699535646236,France,F,1
547,28,10,84904.65717432204,2,1,1,85111.68079624564,France,F,0
794,52,3,44310.19013467177,4,1,1,72588.19997488768,Allemagne,F,0
622,46,18,57462.140620368824,1,0,1,52443.538893640194,France,H,0
312,34,12,97161.70833548423,2,1,0,56657.47058877994,France,F,1
659,65,10,56941.166072192886,2,0,0,62357.57111954188,Allemagne,F,1
689,47,14,75404.36707130901,3,0,0,65876.37436661177,Espagne,H,1
337,48,13,78059.51269469586,2,1,1,28006.768996825474,France,H,0
311,39,10,66076.57153249069,1,0,0,60764.32778067065,France,F,1
465,60,5,45162.48757031738,3,0,0,26111.36805412017,Espagne,F,1
324,54,10,57636.8994993239,2,0,0,22158.187749328077,France,F,1
459,46,10,75893.57056444761,2,0,1,53289.93872714461,Allemagne,H,0
783,19,6,43266.44693141735,1,0,0,84834.01255368059,Espagne,H,1
306,65,10,42442.30259417335,3,0,1,49635.634136527864,France,F,1
450,53,19,38762.6345183635,2,1,1,58170.459161251754,Espagne,F,0
534,23,3,98302.56185331759,2,1,0,67609.74036088368,Espagne,H,0
801,21,3,65412.87990220748,2,0,1,40723.9382897375,France,F,0
